test_case_id,instruction,expected_output,generated_output,similarity_score,is_correct,method_correct,error
1,"Get unique values of wind_fcst. 
Columns: start_time, power, method, wind_fcst, price_rt, price_da",df['wind_fcst'].unique(),"data = {'start_time': ['2023-04-01 09:00:00', '2023-04-01 10:00:00'],'power': [500, 600],",0.11,False,False,
2,"Compute count of rows grouped by region. 
Columns: start_time, price_rt_delta, total, region, wind_fcst, price_rt, price_da",df.groupby('region').size(),"data = {'start_time': [pd.Timestamp('2023-01-01 09:00'), pd.NaT],'price_rt_delta': [-5, -7],'total': [400, 600],'region':",0.16,False,False,
3,"Compute count of rows grouped by region. 
Columns: fcst_time, power, total, region, day_ahead_forecast, price_rt, price_da",df.groupby('region').size(),"data = {'fcst_time': [pd.Timestamp('2023-04-01 08:00'), pd.Timestamp('2023-04-01 09:00')],'power': [500, 600],",0.16,False,False,
4,"Return top 7 rows by wind_fcst. 
Columns: start_time, predicted, power, method, wind_fcst, day_ahead_forecast, price_rt, price_da","df.nlargest(24, 'wind_fcst')",df.loc[:6],0.26,False,False,
5,"Filter rows for a specific hour 72. 
Columns: predicted, fcst_time, total, wind_fcst_err, day_ahead_forecast, load_fcst, zone, price_rt",df[df['fcst_time'].dt.hour == 47],"data = {'predicted': [0.5, -0.3, 1.2],'fcst_time': [pd.Timestamp('2023-04-01 16:00'), pd.Timestamp('2023-04-01 1",0.23,False,False,
6,"Compute the sum of wind_fcst grouped by zone. 
Columns: predicted, fcst_time, power, wind_fcst, load_fcst, zone",df.groupby('zone')['wind_fcst'].sum(),"data = {'predicted': [50, 60, 70],'fcst_time': ['2023-04-01T12:00:00', '2023-04-01T13:00:",0.14,False,False,
7,"Get unique values of price_rt_delta. 
Columns: start_time, price_rt_delta, power, total, method, load_fcst, price_da",df['price_rt_delta'].unique(),df['price_rt_delta'].unique(),1.0,True,True,
8,"Get unique values of predicted_delta. 
Columns: predicted, predicted_delta, fcst_time, power, total, region, price_rt",df['predicted_delta'].unique(),df['predicted_delta'].unique(),1.0,True,True,
9,"Count unique values of predicted_adj. 
Columns: start_time, predicted, predicted_adj, method, wind_fcst, day_ahead_forecast, price_da",df['predicted_adj'].nunique(),df['predicted_adj'].nunique(),1.0,True,True,
10,"Compute the sum of solar_fcst_adj grouped by method. 
Columns: start_time, predicted, total, method, wind_fcst, day_ahead_forecast, load_fcst, solar_fcst_adj",df.groupby('method')['solar_fcst_adj'].sum(),"df = pd.DataFrame({'start_time': [pd.Timestamp('2023-04-01 08:00'), pd.Timestamp('2023-04-01 09:00')],'predicted': [50, 60],",0.17,False,False,
11,"Extract hour from fcst_time. 
Columns: fcst_time, total, region, wind_fcst, day_ahead_forecast, load_fcst, price_rt",df['hour'] = df['fcst_time'].dt.hour,"data = {'fcst_time': ['2023-04-01 12:00','2023-04-01 18:00','2023-04-01 06:",0.27,False,False,
12,"Get unique values of power. 
Columns: fcst_time, power, load_fcst, zone, price_rt, price_da",df['power'].unique(),"data = {'fcst_time': [pd.Timestamp('2023-04-01 08:00'), pd.Timestamp('2023-04-01 09:00')],'power': [50, 60],'",0.17,False,False,
13,"Sort the DataFrame by wind_fcst. 
Columns: fcst_time, power, wind_fcst, day_ahead_forecast, load_fcst, zone, price_rt",df.sort_values('wind_fcst'),"df.sort_values(by=['wind_fcst'], ascending=False)",0.71,False,True,
14,"Filter rows for a specific hour 181. 
Columns: start_time, predicted, total_err, power, method, day_ahead_forecast, price_da",df[df['start_time'].dt.hour == 98],"data = {'start_time': [pd.Timestamp('2023-04-01 17:00'), pd.NaT],'predicted': [50, None],'total_err': [10, None],'power': [60, None",0.25,False,False,
15,"Get unique values of solar_fcst_adj. 
Columns: start_time, predicted, method, load_fcst, solar_fcst_adj, price_da",df['solar_fcst_adj'].unique(),df['solar_fcst_adj'].unique(),1.0,True,True,
